,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
290,290.0,4527.0,-35.272488,149.11816399999998,BARRY DR AFTER CLUNIES ROSS ST,TURNER,"(-35.272488, 149.118164)",0.38273720778829295,0.6950884101412039,0.007416081,0.666666667,1
291,291.0,1521.0,-35.396854,149.104095,LONGMORE CR AFTER HARKER PL,WANNIASSA,"(-35.396854, 149.104095)",0.05080032648884818,0.9296274184261302,0.036690086000000004,0.185185185,1
292,292.0,1522.0,-35.397308,149.10415600000002,LONGMORE CR 4TH AFTER GAUNSON ST,WANNIASSA,"(-35.397308, 149.104156)",0.05080032648884818,0.8966639033871144,0.036690086000000004,0.185185185,1
293,293.0,1519.0,-35.398785,149.102921,LONGMORE CR AFTER PETIT PL,WANNIASSA,"(-35.398785, 149.102921)",0.19881810524558985,0.70190178574978,0.036690086000000004,0.185185185,1
294,294.0,2415.0,-35.352478000000005,149.060608,NEMERANG CR WARAMANGA SHOPS,WARAMANGA,"(-35.352478, 149.060608)",0.29082863404508846,0.2246348098675736,0.007416081,0.588235294,1
295,295.0,2418.0,-35.355404,149.060379,NEMARANG CR AFTER DALABON CR,WARAMANGA,"(-35.355404, 149.060379)",0.23650305107773048,0.35782169884825316,0.007416081,0.588235294,1
296,296.0,2419.0,-35.357395000000004,149.059464,YAMBINA CR AFTER BADIMARA ST,WARAMANGA,"(-35.357395, 149.059464)",0.23650305107773048,0.5847015176534883,0.007416081,0.588235294,1
297,297.0,3248.0,-35.23798,149.153641,KNOX ST 2ND AFTER DICKINSON ST,WATSON,"(-35.23798, 149.153641)",0.40439591135314484,0.04821432995795911,0.007025761,0.27027027,1
298,298.0,3250.0,-35.234707,149.151703,KNOX ST AFTER PIDDINGTON ST,WATSON,"(-35.234707, 149.151703)",0.2785134679245489,0.4296461754891677,0.007025761,0.27027027,1
299,299.0,3252.0,-35.232521000000006,149.153198,KNOX ST OPP OLD WATSON TERMINUS,WATSON,"(-35.232521, 149.153198)",0.2785134679245489,0.6465841264797865,0.007025761,0.27027027,1
300,300.0,4893.0,-35.243342999999996,149.048126,BELCONNEN WY BEFORE SPRINGVALE DR,WEETANGERA,"(-35.243343, 149.048126)",0.2770940165633343,0.7447011558367717,0.006245121,0.625,1
301,301.0,4440.0,-35.251377000000005,149.049179,SHUMACK ST OPPOSITE WEETANGERA PRIMARY,WEETANGERA,"(-35.251377, 149.049179)",0.34425161571341695,0.15402407885833763,0.006245121,0.625,1
302,302.0,4437.0,-35.253723,149.051651,SHUMACK ST AFTER COULTER DR,WEETANGERA,"(-35.253723, 149.051651)",0.34425161571341695,0.4790298225100008,0.006245121,0.625,1
303,303.0,1246.0,-35.340843,149.052338,BRIERLY ST COOLEMAN CT PLT1,WESTON,"(-35.340843, 149.052338)",0.18753906275004686,0.6821934277107646,0.014441842,0.322580645,1
304,304.0,1247.0,-35.340981,149.050278,STREETON DR BEFORE HINDMARSH DR,WESTON,"(-35.340981, 149.050278)",0.18753906275004686,0.8580415927487626,0.014441842,0.322580645,1
305,305.0,1809.0,-35.322590000000005,149.057617,OPP NORTH WESTON PARK & RIDE,WESTON,"(-35.32259, 149.057617)",0.501330145317142,1.7186400481660236,0.014441842,0.322580645,1
306,306.0,2811.0,-35.32478,149.043381,JOHN GORTON DR AFTER COTTER RD,WRIGHT,"(-35.32478, 149.043381)",0.13203156548730277,1.2792476052585569,0.0019515999999999997,0.7692307690000001,1
307,307.0,2806.0,-35.320232,149.036819,STEVE IRWIN AVE AFTER JOHN GORTON DR,WRIGHT,"(-35.320232, 149.036819)",0.09202030175727455,0.4993709123518531,0.0019515999999999997,0.7692307690000001,1
308,308.0,2809.0,-35.319416,149.036652,JOHN GORTON DR AFTER STEVE IRWIN AVE,WRIGHT,"(-35.319416, 149.036652)",0.09202030175727455,0.4267029762189798,0.0019515999999999997,0.7692307690000001,1
309,309.0,2448.0,-35.312031,149.098297,NOVAR ST BEFORE KINTORE CR,YARRALUMLA,"(-35.312031, 149.098297)",0.2092277461457388,0.7720351499815674,0.006635441,0.113507378,1
310,310.0,2449.0,-35.31015,149.098282,NOVAR ST AFTER WESTON ST,YARRALUMLA,"(-35.31015, 149.098282)",0.2092277461457388,0.5628483513165362,0.006635441,0.113507378,1
311,311.0,2452.0,-35.303771999999995,149.099091,SCHLICH ST AFTER NOVAR ST,YARRALUMLA,"(-35.303772, 149.099091)",0.5590976783740097,0.17228478349143952,0.006635441,0.113507378,1
