,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density
33,1029,-35.441601,149.100906,DUGGAN ST AFTER THARWA DR,CALWELL,"(-35.441601, 149.100906)",0.01939262,0.91629437,0.011709602,0.256410256
,,,,,,,,,,
34,1030,-35.441601,149.10112,DUGGAN ST AFTER ANDREW CR,CALWELL,"(-35.441601, 149.10112)",0.01939262,0.898892252,0.011709602,0.256410256
,,,,,,,,,,
35,1027,-35.439865,149.098618,DUGGAN ST AFTER DOWNARD ST,CALWELL,"(-35.439865, 149.098618)",0.012943328,1.0521211,0.011709602,0.256410256
,,,,,,,,,,
36,3474,-35.282707,149.148727,FAIRBAIRN AV AFTER CRESWELL ST,CAMPBELL,"(-35.282707, 149.148727)",0.11968554,0.757398869,0.017174083,0.15625
,,,,,,,,,,
37,3473,-35.282612,149.15004,FAIRBAIRN AV AFTER WAR MEMORIAL SERVICE RD,CAMPBELL,"(-35.282612, 149.15004)",0.11968554,0.699144436,0.017174083,0.15625
,,,,,,,,,,
38,3424,-35.292652,149.163208,MILNE BAY RD 2ND AFTER GENERAL BRIDGES RD,CAMPBELL,"(-35.292652, 149.163208)",0.161587161,0.988519415,0.017174083,0.15625
,,,,,,,,,,
39,5111,-35.29586,149.18956,CATALINA DR COSTCO,CANBERRA AIRPORT,"(-35.29586, 149.18956)",0.170881227,0,0.0039,0.21
,,,,,,,,,,
40,5103,-35.299023,149.188065,CATALINA DR,CANBERRA AIRPORT,"(-35.299023, 149.188065)",0.108966571,0,0.0039,0.21
,,,,,,,,,,
41,5110,-35.29961,149.189026,DAKOTA DR AFTER SPITFIRE AV,CANBERRA AIRPORT,"(-35.29961, 149.189026)",0.108966571,0,0.0039,0.21
,,,,,,,,,,
42,2587,-35.309078,149.126083,PARLIAMENT DR NEW PARLIAMENT HOUSE,CAPITAL HILL,"(-35.309078, 149.126083)",0.350093301,0.187538557,0.0019516,0
,,,,,,,,,,
43,2586,-35.30727,149.122742,PARLIAMENT DR PARLIAMENT HOUSE,CAPITAL HILL,"(-35.30727, 149.122742)",0.358375845,0.176557301,0.0019516,0
,,,,,,,,,,
44,2245,-35.305534,149.126068,FEDERATION MALL PARLIAMENT HOUSE NORTHBOUND,CAPITAL HILL,"(-35.305534, 149.126068)",0.104444657,0.323088282,0.0019516,0
,,,,,,,,,,
45,4842,-35.162437,149.098358,PLIMSOLL DR BEFORE RONALD WALKER ST,CASEY,"(-35.162437, 149.098358)",0.104046392,1.382200343,0.004683841,0.384615385
,,,,,,,,,,
46,4843,-35.159519,149.101334,WHITROD AV AFTER KOWALSKI ST,CASEY,"(-35.159519, 149.101334)",0.03969818,1.759385849,0.004683841,0.384615385
,,,,,,,,,,
47,4841,-35.163345,149.098083,PLIMSOLL DR BEFORE BOTT CR,CASEY,"(-35.163345, 149.098083)",0.104046392,1.278516616,0.004683841,0.384615385
,,,,,,,,,,
48,1269,-35.358208,149.047882,NAMATJIRA DR AFTER PERRY DR,CHAPMAN,"(-35.358208, 149.047882)",0.030430741,12347.59416,0.007416081,0.526315789
,,,,,,,,,,
49,1270,-35.360443,149.047653,NAMATJIRA DR AFTER KAPUNDA ST,CHAPMAN,"(-35.360443, 149.047653)",0.021616954,12347.72649,0.007416081,0.526315789
,,,,,,,,,,
50,1271,-35.36356,149.049606,NAMATJIRA DR 3RD FROM DRAKEFORD DR,CHAPMAN,"(-35.36356, 149.049606)",0.012944295,12347.72781,0.007416081,0.526315789
,,,,,,,,,,
51,4208,-35.203167,149.027878,LHOTSKY ST AFTER CARTWRIGHT ST,CHARNWOOD,"(-35.203167, 149.027878)",0.026330839,0.900822775,0.007806401,0.526315789
,,,,,,,,,,
52,4209,-35.201019,149.027161,LHOTSKY ST BEFORE SPORT WY,CHARNWOOD,"(-35.201019, 149.027161)",0.031078378,0.901424024,0.007806401,0.526315789
,,,,,,,,,,
53,4206,-35.205486,149.032501,LHOTSKY ST CHARNWOOD SHOPS,CHARNWOOD,"(-35.205486, 149.032501)",0.065605126,0.734544179,0.007806401,0.526315789
,,,,,,,,,,
54,2000,-35.353077,149.080521,EGGLESTONE AFTER MACLAURIN,CHIFLEY,"(-35.353077, 149.080521)",0.024046926,0.331276808,0.005464481,0.625
,,,,,,,,,,
55,262,-35.351879,149.08403,EGGLESTON CR 2ND AFTER MACLAURIN CR,CHIFLEY,"(-35.351879, 149.08403)",0.016573245,0.573584811,0.005464481,0.625
,,,,,,,,,,
56,263,-35.352028,149.08403,EGGLESTON CR AFTER MELROSE DR,CHIFLEY,"(-35.352028, 149.08403)",0.016573245,0.576285638,0.005464481,0.625
,,,,,,,,,,
